filename,channel,rate,label,detected,R_blocks,S_blocks,U_blocks,time_sec
jack1007-1WiR5zUsaPo-unsplash.png,R,0,0,0,44529,21007,0,1.8586485385894775
jan-kopriva-IZ7W626JoQs-unsplash.png,R,0,0,1,32764,32772,0,2.5262887477874756
joylynn-goh-QyC9YXSbqqU-unsplash.png,R,0,0,0,38937,26599,0,1.6208558082580566
julia-kadel-T0YlQSzr7lE-unsplash.png,R,0,0,0,37818,27718,0,1.6429626941680908
kaan-melhemci-k9YK2onsceE-unsplash.png,R,0,0,0,33254,32282,0,1.5824742317199707
kabo-BHJs5TZ-Nt0-unsplash.png,R,0,0,0,41077,24459,0,1.652975082397461
kabo-NjWZ07sPEJE-unsplash.png,R,0,0,0,44488,21048,0,1.9618775844573975
kabo-OouGoqQuf64-unsplash.png,R,0,0,0,45725,19811,0,1.7893352508544922
kabo-ng9yenZfeuI-unsplash.png,R,0,0,0,39919,25617,0,2.03772234916687
kabo-p6yH8VmGqxo-unsplash.png,R,0,0,0,40070,25466,0,1.734936237335205
kabo-sR0cTmQHPug-unsplash.png,R,0,0,0,43043,22493,0,1.6253647804260254
kari-shea-FilM6ng7VGQ-unsplash.png,R,0,0,0,47720,17816,0,1.6201250553131104
king-cho-EuX29PhTNdw-unsplash.png,R,0,0,0,36973,28563,0,1.9131600856781006
le-thanh-son-aATmDHlAuPc-unsplash.png,R,0,0,0,35657,29879,0,1.6587178707122803
le-thanh-son-jUm_j2QCmIg-unsplash.png,R,0,0,0,35181,30355,0,1.6186063289642334
maicol-santos-JI7aL1aMLHc-unsplash.png,R,0,0,0,42397,23139,0,4.2728590965271
marie-michele-bouchard-9MXrPaCvDps-unsplash.png,R,0,0,0,39819,25717,0,1.5755021572113037
megan-lee-39qcA9ExQnE-unsplash.png,R,0,0,0,37005,28531,0,1.6380105018615723
melanie-andersen-Agbtans6EUM-unsplash.png,R,0,0,0,34499,31037,0,2.2248144149780273
melanie-andersen-da0u7-jIVrc-unsplash.png,R,0,0,0,34967,30569,0,1.7514369487762451
michael-kater-UTREkJVIphU-unsplash.png,R,0,0,0,33060,32476,0,1.8946571350097656
mishal-ibrahim-DoETxFMxhOY-unsplash.png,R,0,0,0,46105,19431,0,1.84259033203125
muhammad-shah-zeb-LFCXaxok7oo-unsplash.png,R,0,0,0,44395,21141,0,1.5712943077087402
niranjan-ePZevrGGVJ4-unsplash.png,R,0,0,0,33456,32080,0,1.7810142040252686
noor-yoosuf-e0rVIjVzpxU-unsplash.png,R,0,0,0,35923,29613,0,1.849804162979126
omar-d-o5TP_3E6nZw-unsplash.png,R,0,0,0,44233,21303,0,3.537111520767212
payam-moin-afshari-cSCJvz0gzu4-unsplash.png,R,0,0,0,42728,22808,0,2.334016799926758
phan-th-thu-trang-0O--QJaJTYA-unsplash.png,R,0,0,0,35552,29984,0,3.349484920501709
phan-th-thu-trang-5hYQSmNO9v8-unsplash.png,R,0,0,0,36795,28741,0,2.9473156929016113
phan-th-thu-trang-bKf-eNK97Ns-unsplash.png,R,0,0,0,34625,30911,0,2.461296796798706
piotr-musiol-Ch7KyTTSc4Y-unsplash.png,R,0,0,0,39819,25717,0,5.140801191329956
rene-peters-kD4AXcuvnTE-unsplash.png,R,0,0,0,33917,31619,0,1.8413498401641846
rohan-On8712CI0qE-unsplash.png,R,0,0,0,47792,17744,0,1.6559369564056396
rohan-Ot3wUfyb3ZY-unsplash.png,R,0,0,0,47877,17659,0,1.9811046123504639
rohan-za04zuQO-Qo-unsplash.png,R,0,0,0,44008,21528,0,1.8707776069641113
rusty-watson-E4P3d5MxGro-unsplash.png,R,0,0,0,42540,22996,0,1.6148579120635986
saatvik-parab-MzXJQpXt1jU-unsplash.png,R,0,0,0,33677,31859,0,1.661118507385254
sabina-sturzu-sHtJeNIzPe8-unsplash.png,R,0,0,0,37366,28170,0,1.7496600151062012
saso-tusar-yP19KADwhEI-unsplash.png,R,0,0,0,52963,12573,0,2.471278429031372
shiwa-Dh-B7mQxvK0-unsplash.png,R,0,0,0,51826,13710,0,1.8020803928375244
silviannnm-VsEk4cIlNk0-unsplash.png,R,0,0,0,34120,31416,0,1.973710298538208
